Name,Age,Education,Skills,Interests,Recommended_Career
Betty Lule 4,37,UCE Certificate,"inventory management, stock replenishment, product knowledge, customer service","retail management, sales, business operations",Retail Supervisor
Fiona Namatovu 5,21,UCE Certificate,"teamwork, point of sale operation, problem solving, customer service, sales","customer interaction, sales, retail management",Retail Buyer
Sandra Kintu 6,18,Bachelor's,"communication, teamwork, retail operations, inventory management","store management, business operations",Cashier
Ivan Mukasa 7,50,UCE Certificate,"stock replenishment, problem solving, product knowledge, teamwork","store management, product promotion",Retail Supervisor
Ivan Mukasa 8,39,Bachelor's,"stock replenishment, problem solving, point of sale operation, communication","store management, product promotion, merchandising",Store Manager
Betty Lule 9,49,UACE Certificate,"retail operations, point of sale operation, cash handling, product knowledge, inventory management","business operations, customer interaction",Store Manager
Alex Ssenyonjo 10,37,UACE Certificate,"merchandising, communication, point of sale operation","customer interaction, product promotion, store management",Retail Sales Associate
Sandra Kintu 11,45,Bachelor's,"retail operations, inventory management, point of sale operation, customer service","product promotion, business operations",Visual Merchandiser
Peter Bbosa 12,18,UCE Certificate,"point of sale operation, sales, stock replenishment, teamwork, inventory management","customer interaction, merchandising",Product Promoter
Grace Namuli 13,45,Bachelor's,"retail operations, sales, problem solving","retail management, customer interaction, business operations",Retail Sales Associate
Ivan Mukasa 14,38,Master's,"merchandising, stock replenishment, point of sale operation, teamwork, communication","store management, business operations, customer interaction",Retail Supervisor
Susan Wanyana 15,18,UACE Certificate,"retail operations, merchandising, cash handling, sales, point of sale operation","product promotion, customer interaction",Inventory Specialist
Betty Lule 16,42,UACE Certificate,"cash handling, inventory management, sales, retail operations, product knowledge","store management, business operations",Store Manager
Ivan Mukasa 17,25,Bachelor's,"point of sale operation, retail operations, stock replenishment","customer interaction, product promotion",Visual Merchandiser
Ivan Mukasa 18,20,UACE Certificate,"communication, cash handling, product knowledge, teamwork","merchandising, store management, product promotion",Product Promoter
Peter Bbosa 19,28,Master's,"stock replenishment, point of sale operation, sales, customer service, problem solving","customer interaction, sales, business operations",Cashier
Peter Bbosa 20,26,UCE Certificate,"cash handling, retail operations, product knowledge, sales, communication","merchandising, business operations, product promotion",Cashier
Alex Ssenyonjo 21,49,Bachelor's,"inventory management, product knowledge, teamwork, stock replenishment","business operations, customer interaction, retail management",Retail Buyer
Betty Lule 22,18,UCE Certificate,"stock replenishment, problem solving, communication, merchandising, customer service","customer interaction, sales, business operations",Cashier
Daniel Okello 23,19,UACE Certificate,"point of sale operation, sales, merchandising","store management, retail management, business operations",Visual Merchandiser
Alex Ssenyonjo 24,22,Bachelor's,"teamwork, product knowledge, point of sale operation, problem solving","store management, sales, business operations",Stock Clerk
Betty Lule 25,45,Bachelor's,"point of sale operation, retail operations, customer service, merchandising","product promotion, business operations, store management",Stock Clerk
Alex Ssenyonjo 26,49,Master's,"sales, product knowledge, inventory management, customer service","store management, product promotion",Retail Sales Associate
Fiona Namatovu 27,38,UACE Certificate,"retail operations, customer service, teamwork","retail management, sales, customer interaction",Retail Supervisor
Susan Wanyana 28,44,Master's,"inventory management, product knowledge, cash handling","store management, merchandising, sales",Customer Service Representative
Peter Bbosa 29,21,Bachelor's,"retail operations, problem solving, inventory management, teamwork","product promotion, merchandising",Retail Sales Associate
Michael Kabanda 30,45,Master's,"sales, teamwork, stock replenishment, merchandising","business operations, sales, merchandising",Store Manager
Daniel Okello 31,31,UCE Certificate,"point of sale operation, customer service, inventory management, problem solving, stock replenishment","merchandising, store management, customer interaction",Inventory Specialist
Ivan Mukasa 32,40,Bachelor's,"merchandising, sales, product knowledge, customer service, stock replenishment","sales, retail management",Store Manager
Sandra Kintu 33,40,UACE Certificate,"retail operations, sales, stock replenishment, problem solving","product promotion, retail management",Stock Clerk
Susan Wanyana 34,19,Master's,"customer service, merchandising, communication, product knowledge, retail operations","retail management, merchandising, store management",Retail Buyer
Daniel Okello 35,43,Bachelor's,"customer service, communication, problem solving, retail operations","sales, customer interaction",Customer Service Representative
Michael Kabanda 36,25,UACE Certificate,"cash handling, problem solving, retail operations","customer interaction, business operations, product promotion",Retail Supervisor
Susan Wanyana 37,35,Bachelor's,"cash handling, product knowledge, teamwork, point of sale operation","product promotion, sales, business operations",Retail Sales Associate
Sandra Kintu 38,38,UCE Certificate,"merchandising, customer service, sales, product knowledge","sales, store management",Retail Sales Associate
Sandra Kintu 39,21,UACE Certificate,"merchandising, inventory management, stock replenishment, teamwork","product promotion, customer interaction",Product Promoter
Fiona Namatovu 40,46,Bachelor's,"problem solving, sales, cash handling, inventory management","merchandising, store management",Cashier
Grace Namuli 41,38,UACE Certificate,"stock replenishment, cash handling, problem solving","merchandising, customer interaction",Retail Supervisor
Grace Namuli 42,48,UCE Certificate,"point of sale operation, sales, cash handling, inventory management, customer service","business operations, customer interaction",Retail Sales Associate
Peter Bbosa 43,40,UCE Certificate,"product knowledge, communication, cash handling, stock replenishment, point of sale operation","merchandising, retail management",Product Promoter
Peter Bbosa 44,48,Bachelor's,"stock replenishment, customer service, merchandising, point of sale operation","retail management, sales, store management",Stock Clerk
Fiona Namatovu 45,20,UACE Certificate,"inventory management, merchandising, retail operations, point of sale operation","product promotion, store management, business operations",Inventory Specialist
Peter Bbosa 46,38,UCE Certificate,"merchandising, point of sale operation, cash handling, teamwork, stock replenishment","store management, product promotion, business operations",Retail Supervisor
Fiona Namatovu 47,26,UCE Certificate,"product knowledge, stock replenishment, merchandising, point of sale operation","product promotion, customer interaction",Store Manager
Daniel Okello 48,23,Bachelor's,"customer service, merchandising, retail operations, teamwork","merchandising, store management",Cashier
Peter Bbosa 49,18,UCE Certificate,"cash handling, sales, merchandising, problem solving, customer service","business operations, sales",Cashier
Sandra Kintu 50,26,UCE Certificate,"inventory management, stock replenishment, teamwork, retail operations, customer service","sales, business operations",Product Promoter
Fiona Namatovu 51,26,UCE Certificate,"point of sale operation, teamwork, inventory management","retail management, business operations, product promotion",Visual Merchandiser
Grace Namuli 52,47,UACE Certificate,"inventory management, teamwork, communication","customer interaction, sales, retail management",Inventory Specialist
Michael Kabanda 53,40,UCE Certificate,"cash handling, retail operations, product knowledge","business operations, customer interaction, retail management",Visual Merchandiser
Fiona Namatovu 54,45,Bachelor's,"customer service, inventory management, sales, stock replenishment","merchandising, retail management, product promotion",Cashier
Grace Namuli 55,48,Bachelor's,"stock replenishment, cash handling, customer service","product promotion, customer interaction, store management",Store Manager
Daniel Okello 56,29,UACE Certificate,"point of sale operation, stock replenishment, problem solving, communication","retail management, customer interaction, sales",Product Promoter
Sandra Kintu 57,29,Master's,"teamwork, customer service, problem solving","product promotion, merchandising",Retail Supervisor
Grace Namuli 58,23,Bachelor's,"retail operations, cash handling, inventory management, point of sale operation","business operations, sales",Inventory Specialist
Michael Kabanda 59,27,Bachelor's,"merchandising, stock replenishment, teamwork","merchandising, retail management, business operations",Product Promoter
Betty Lule 60,30,Master's,"retail operations, product knowledge, merchandising","merchandising, sales, business operations",Cashier
Peter Bbosa 61,42,UACE Certificate,"teamwork, communication, merchandising, stock replenishment, sales","store management, product promotion, retail management",Cashier
Daniel Okello 62,46,UCE Certificate,"stock replenishment, teamwork, inventory management","product promotion, sales, business operations",Retail Buyer
Alex Ssenyonjo 63,36,Bachelor's,"point of sale operation, inventory management, problem solving","retail management, business operations, sales",Retail Supervisor
Susan Wanyana 64,30,Bachelor's,"cash handling, inventory management, sales, communication","sales, customer interaction, business operations",Stock Clerk
Sandra Kintu 65,35,Master's,"teamwork, retail operations, customer service, problem solving","sales, product promotion, business operations",Visual Merchandiser
Ivan Mukasa 66,45,UCE Certificate,"product knowledge, stock replenishment, problem solving","product promotion, store management, retail management",Inventory Specialist
Grace Namuli 67,32,UACE Certificate,"inventory management, stock replenishment, merchandising, cash handling, point of sale operation","merchandising, customer interaction",Retail Buyer
Susan Wanyana 68,28,UCE Certificate,"retail operations, teamwork, cash handling, customer service","product promotion, business operations",Inventory Specialist
Susan Wanyana 69,37,UCE Certificate,"cash handling, stock replenishment, retail operations, product knowledge","store management, retail management, sales",Cashier
Daniel Okello 70,32,UACE Certificate,"communication, cash handling, point of sale operation, customer service","customer interaction, sales",Customer Service Representative
Daniel Okello 71,26,Master's,"product knowledge, stock replenishment, customer service, inventory management, teamwork","customer interaction, business operations, product promotion",Stock Clerk
Fiona Namatovu 72,39,Master's,"inventory management, merchandising, teamwork, product knowledge","business operations, sales",Customer Service Representative
Michael Kabanda 73,26,Master's,"communication, sales, customer service","product promotion, sales, business operations",Retail Buyer
Peter Bbosa 74,40,UACE Certificate,"stock replenishment, cash handling, retail operations, customer service","customer interaction, retail management, product promotion",Store Manager
Sandra Kintu 75,44,Bachelor's,"retail operations, inventory management, teamwork, communication","product promotion, retail management",Retail Buyer
Fiona Namatovu 76,24,Master's,"stock replenishment, merchandising, point of sale operation","sales, product promotion, store management",Visual Merchandiser
Grace Namuli 77,33,UACE Certificate,"problem solving, communication, stock replenishment, point of sale operation","retail management, sales",Retail Sales Associate
Fiona Namatovu 78,28,Bachelor's,"teamwork, merchandising, point of sale operation","business operations, customer interaction, retail management",Retail Buyer
Alex Ssenyonjo 79,22,UACE Certificate,"problem solving, point of sale operation, retail operations, merchandising, inventory management","business operations, merchandising, sales",Stock Clerk
Daniel Okello 80,43,Master's,"product knowledge, merchandising, point of sale operation, inventory management","store management, product promotion",Cashier
Peter Bbosa 81,34,UCE Certificate,"cash handling, point of sale operation, merchandising, product knowledge, sales","store management, retail management, sales",Customer Service Representative
Grace Namuli 82,38,Bachelor's,"retail operations, product knowledge, customer service, stock replenishment, inventory management","customer interaction, product promotion, retail management",Retail Buyer
Alex Ssenyonjo 83,20,UACE Certificate,"merchandising, product knowledge, sales","merchandising, product promotion, retail management",Product Promoter
Daniel Okello 84,37,UACE Certificate,"cash handling, inventory management, point of sale operation","retail management, product promotion",Cashier
Alex Ssenyonjo 85,21,UACE Certificate,"stock replenishment, retail operations, product knowledge, point of sale operation","sales, store management, retail management",Inventory Specialist
Alex Ssenyonjo 86,38,Bachelor's,"communication, customer service, inventory management","sales, merchandising",Cashier
Daniel Okello 87,40,UCE Certificate,"inventory management, retail operations, point of sale operation, sales","merchandising, business operations",Stock Clerk
Susan Wanyana 88,31,UACE Certificate,"cash handling, teamwork, product knowledge, sales, problem solving","business operations, retail management",Product Promoter
Michael Kabanda 89,22,Master's,"inventory management, point of sale operation, problem solving, teamwork, sales","merchandising, store management",Retail Buyer
Peter Bbosa 90,29,Bachelor's,"merchandising, product knowledge, cash handling, customer service","sales, customer interaction, business operations",Retail Buyer
Fiona Namatovu 91,37,Bachelor's,"product knowledge, retail operations, customer service, stock replenishment, merchandising","sales, customer interaction",Inventory Specialist
Betty Lule 92,29,Bachelor's,"retail operations, communication, merchandising, point of sale operation","product promotion, store management",Retail Buyer
Sandra Kintu 93,27,Bachelor's,"retail operations, communication, sales","customer interaction, store management",Visual Merchandiser
Grace Namuli 94,37,UACE Certificate,"sales, communication, cash handling, stock replenishment, point of sale operation","customer interaction, business operations",Store Manager
Alex Ssenyonjo 95,41,Bachelor's,"problem solving, merchandising, customer service","business operations, product promotion, sales",Stock Clerk
Betty Lule 96,21,Master's,"merchandising, sales, problem solving, teamwork, cash handling","business operations, sales",Retail Sales Associate
Betty Lule 97,20,UCE Certificate,"stock replenishment, cash handling, communication","retail management, product promotion",Retail Sales Associate
Daniel Okello 98,23,UACE Certificate,"point of sale operation, cash handling, inventory management, problem solving","customer interaction, merchandising",Retail Supervisor
Betty Lule 99,45,Master's,"cash handling, customer service, merchandising","business operations, store management, product promotion",Cashier
Fiona Namatovu 100,48,Bachelor's,"problem solving, cash handling, sales, product knowledge, inventory management","merchandising, business operations, sales",Inventory Specialist
Betty Lule 101,19,UCE Certificate,"merchandising, retail operations, cash handling","product promotion, merchandising",Inventory Specialist
Michael Kabanda 102,22,UCE Certificate,"merchandising, teamwork, stock replenishment, point of sale operation","customer interaction, sales",Customer Service Representative
Fiona Namatovu 103,42,UACE Certificate,"retail operations, product knowledge, teamwork, customer service","business operations, customer interaction",Product Promoter
Ivan Mukasa 104,27,Master's,"customer service, communication, product knowledge, problem solving","product promotion, business operations",Customer Service Representative
Betty Lule 105,26,Master's,"point of sale operation, stock replenishment, sales, customer service","business operations, retail management",Cashier
Sandra Kintu 106,47,UACE Certificate,"stock replenishment, teamwork, problem solving, cash handling, inventory management","business operations, store management, sales",Retail Buyer
Sandra Kintu 107,42,UACE Certificate,"customer service, communication, merchandising, product knowledge, problem solving","store management, retail management, sales",Cashier
Fiona Namatovu 108,39,UCE Certificate,"inventory management, cash handling, sales","merchandising, store management",Customer Service Representative
Grace Namuli 109,28,UCE Certificate,"merchandising, communication, point of sale operation","product promotion, retail management",Customer Service Representative
Fiona Namatovu 110,40,UACE Certificate,"customer service, point of sale operation, cash handling, problem solving","customer interaction, sales, store management",Retail Buyer
Ivan Mukasa 111,21,UACE Certificate,"communication, merchandising, cash handling, customer service","product promotion, business operations",Inventory Specialist
Alex Ssenyonjo 112,31,UACE Certificate,"customer service, communication, inventory management, cash handling, retail operations","customer interaction, business operations, sales",Visual Merchandiser
Alex Ssenyonjo 113,41,Bachelor's,"sales, point of sale operation, product knowledge","customer interaction, store management",Customer Service Representative
Susan Wanyana 114,45,Bachelor's,"inventory management, product knowledge, stock replenishment, sales, cash handling","merchandising, sales, store management",Customer Service Representative
Daniel Okello 115,26,Master's,"communication, merchandising, customer service, sales","customer interaction, retail management, sales",Cashier
Ivan Mukasa 116,28,Master's,"customer service, teamwork, point of sale operation","merchandising, customer interaction",Retail Buyer
Susan Wanyana 117,46,Bachelor's,"product knowledge, customer service, stock replenishment, merchandising","customer interaction, retail management, product promotion",Retail Buyer
Michael Kabanda 118,35,Master's,"retail operations, stock replenishment, customer service, point of sale operation, product knowledge","merchandising, product promotion",Customer Service Representative
Ivan Mukasa 119,18,Master's,"sales, communication, cash handling, inventory management, merchandising","business operations, retail management, merchandising",Visual Merchandiser
Betty Lule 120,31,UCE Certificate,"point of sale operation, cash handling, inventory management","sales, customer interaction, merchandising",Retail Sales Associate
Sandra Kintu 121,43,Bachelor's,"point of sale operation, teamwork, sales, cash handling, customer service","merchandising, retail management, business operations",Visual Merchandiser
Peter Bbosa 122,47,UACE Certificate,"sales, point of sale operation, inventory management, merchandising","product promotion, customer interaction, business operations",Retail Buyer
Fiona Namatovu 123,22,UACE Certificate,"sales, cash handling, point of sale operation, inventory management, retail operations","merchandising, product promotion, retail management",Retail Supervisor
Grace Namuli 124,31,UCE Certificate,"merchandising, communication, point of sale operation, teamwork, product knowledge","merchandising, business operations, customer interaction",Retail Supervisor
Daniel Okello 125,44,UACE Certificate,"cash handling, inventory management, teamwork, merchandising","customer interaction, store management, business operations",Retail Supervisor
Betty Lule 126,25,Master's,"retail operations, communication, sales","merchandising, retail management, store management",Retail Buyer
Michael Kabanda 127,27,UCE Certificate,"retail operations, customer service, product knowledge","store management, merchandising",Product Promoter
Alex Ssenyonjo 128,45,UCE Certificate,"inventory management, point of sale operation, cash handling","customer interaction, retail management",Store Manager
Michael Kabanda 129,30,Bachelor's,"merchandising, cash handling, problem solving","business operations, product promotion, merchandising",Retail Supervisor
Betty Lule 130,28,Master's,"stock replenishment, inventory management, sales, point of sale operation, communication","product promotion, customer interaction",Retail Buyer
Sandra Kintu 131,49,UACE Certificate,"teamwork, retail operations, stock replenishment, point of sale operation","customer interaction, sales",Inventory Specialist
Daniel Okello 132,23,Bachelor's,"problem solving, teamwork, product knowledge, customer service","product promotion, sales",Store Manager
Ivan Mukasa 133,40,UCE Certificate,"retail operations, sales, customer service, cash handling","business operations, product promotion, store management",Cashier
Susan Wanyana 134,42,Bachelor's,"point of sale operation, inventory management, cash handling, retail operations","retail management, business operations",Customer Service Representative
Ivan Mukasa 135,45,Bachelor's,"merchandising, teamwork, point of sale operation, problem solving","store management, product promotion, retail management",Customer Service Representative
Alex Ssenyonjo 136,41,UACE Certificate,"stock replenishment, communication, customer service, problem solving, inventory management","store management, sales, merchandising",Retail Buyer
Ivan Mukasa 137,34,UCE Certificate,"inventory management, stock replenishment, communication","store management, customer interaction",Visual Merchandiser
Grace Namuli 138,37,Bachelor's,"problem solving, cash handling, stock replenishment, merchandising, product knowledge","store management, sales, merchandising",Cashier
Grace Namuli 139,30,UACE Certificate,"teamwork, inventory management, cash handling, product knowledge, stock replenishment","product promotion, merchandising",Stock Clerk
Fiona Namatovu 140,33,Bachelor's,"stock replenishment, cash handling, retail operations, merchandising","product promotion, customer interaction, sales",Visual Merchandiser
Alex Ssenyonjo 141,23,UCE Certificate,"inventory management, merchandising, sales, point of sale operation, problem solving","retail management, merchandising",Stock Clerk
Sandra Kintu 142,50,UCE Certificate,"point of sale operation, problem solving, sales, teamwork, communication","merchandising, business operations, product promotion",Cashier
Grace Namuli 143,44,UCE Certificate,"merchandising, product knowledge, cash handling","sales, store management, customer interaction",Stock Clerk
Betty Lule 144,37,UACE Certificate,"problem solving, product knowledge, teamwork","sales, business operations",Stock Clerk
Michael Kabanda 145,42,Master's,"inventory management, communication, product knowledge, problem solving","sales, store management",Stock Clerk
Daniel Okello 146,22,UACE Certificate,"teamwork, customer service, problem solving, point of sale operation","sales, store management",Retail Buyer
Susan Wanyana 147,33,Master's,"problem solving, retail operations, merchandising","store management, business operations, customer interaction",Store Manager
Daniel Okello 148,32,UCE Certificate,"point of sale operation, product knowledge, customer service, retail operations","customer interaction, merchandising",Customer Service Representative
Susan Wanyana 149,36,UACE Certificate,"cash handling, inventory management, communication, stock replenishment","customer interaction, product promotion",Store Manager
Alex Ssenyonjo 150,35,UCE Certificate,"stock replenishment, inventory management, communication, teamwork, problem solving","business operations, store management, merchandising",Store Manager
Susan Wanyana 151,47,Bachelor's,"retail operations, stock replenishment, cash handling, product knowledge, inventory management","business operations, retail management, sales",Retail Buyer
Peter Bbosa 152,36,UCE Certificate,"inventory management, customer service, point of sale operation, retail operations","product promotion, retail management",Retail Sales Associate
Michael Kabanda 153,40,UACE Certificate,"customer service, teamwork, stock replenishment","merchandising, business operations",Store Manager
Sandra Kintu 154,19,UACE Certificate,"stock replenishment, inventory management, problem solving, merchandising, teamwork","product promotion, store management, sales",Customer Service Representative
Betty Lule 155,34,UACE Certificate,"teamwork, inventory management, sales, customer service, product knowledge","business operations, customer interaction",Stock Clerk
Peter Bbosa 156,28,Master's,"teamwork, point of sale operation, communication, product knowledge","product promotion, business operations, customer interaction",Retail Buyer
Alex Ssenyonjo 157,40,UCE Certificate,"inventory management, customer service, point of sale operation","customer interaction, business operations, merchandising",Product Promoter
Susan Wanyana 158,49,Bachelor's,"teamwork, sales, merchandising","sales, customer interaction, retail management",Retail Sales Associate
Alex Ssenyonjo 159,21,UCE Certificate,"problem solving, teamwork, point of sale operation, customer service","store management, merchandising, product promotion",Stock Clerk
Ivan Mukasa 160,49,Master's,"cash handling, merchandising, retail operations, problem solving","store management, business operations, retail management",Stock Clerk
Michael Kabanda 161,46,UACE Certificate,"cash handling, communication, customer service","product promotion, sales",Retail Supervisor
Susan Wanyana 162,44,Bachelor's,"retail operations, product knowledge, communication","retail management, customer interaction",Product Promoter
Grace Namuli 163,27,UCE Certificate,"stock replenishment, merchandising, problem solving","sales, product promotion, store management",Stock Clerk
Sandra Kintu 164,29,Master's,"merchandising, sales, retail operations, inventory management","retail management, merchandising, sales",Product Promoter
Peter Bbosa 165,34,Bachelor's,"problem solving, teamwork, cash handling, retail operations, customer service","store management, sales, customer interaction",Inventory Specialist
Fiona Namatovu 166,43,Bachelor's,"stock replenishment, problem solving, communication, teamwork, inventory management","merchandising, store management",Stock Clerk
Betty Lule 167,39,UCE Certificate,"problem solving, inventory management, product knowledge","business operations, retail management, sales",Retail Supervisor
Betty Lule 168,36,UACE Certificate,"problem solving, point of sale operation, cash handling, product knowledge, teamwork","merchandising, product promotion",Inventory Specialist
Peter Bbosa 169,38,Master's,"retail operations, teamwork, stock replenishment, cash handling","product promotion, sales",Retail Buyer
Michael Kabanda 170,41,UCE Certificate,"cash handling, stock replenishment, communication, sales","merchandising, retail management",Customer Service Representative
Ivan Mukasa 171,45,UCE Certificate,"sales, communication, stock replenishment, merchandising, cash handling","product promotion, store management, customer interaction",Inventory Specialist
Peter Bbosa 172,47,Bachelor's,"merchandising, stock replenishment, customer service","business operations, product promotion, retail management",Visual Merchandiser
Daniel Okello 173,27,UCE Certificate,"inventory management, problem solving, point of sale operation, teamwork, retail operations","customer interaction, store management, retail management",Retail Sales Associate
Alex Ssenyonjo 174,23,UACE Certificate,"point of sale operation, retail operations, customer service, cash handling","customer interaction, retail management",Retail Sales Associate
Grace Namuli 175,28,Master's,"problem solving, retail operations, stock replenishment, inventory management, product knowledge","sales, store management, business operations",Stock Clerk
Peter Bbosa 176,47,Master's,"cash handling, sales, product knowledge","store management, sales",Product Promoter
Ivan Mukasa 177,41,Bachelor's,"point of sale operation, cash handling, customer service, sales","retail management, merchandising, store management",Stock Clerk
Betty Lule 178,47,UACE Certificate,"problem solving, merchandising, customer service, sales","retail management, merchandising, business operations",Inventory Specialist
Michael Kabanda 179,46,Master's,"inventory management, communication, point of sale operation, teamwork","business operations, merchandising, customer interaction",Store Manager
Fiona Namatovu 180,48,Master's,"merchandising, stock replenishment, cash handling, teamwork, retail operations","merchandising, retail management, business operations",Stock Clerk
Fiona Namatovu 181,34,Master's,"product knowledge, merchandising, communication, customer service, sales","merchandising, business operations",Retail Supervisor
Michael Kabanda 182,22,UACE Certificate,"communication, stock replenishment, product knowledge","product promotion, sales",Inventory Specialist
Michael Kabanda 183,50,Master's,"teamwork, product knowledge, stock replenishment","product promotion, retail management, business operations",Customer Service Representative
Ivan Mukasa 184,37,Master's,"stock replenishment, teamwork, communication, customer service, point of sale operation","merchandising, store management, product promotion",Product Promoter
Susan Wanyana 185,33,UACE Certificate,"problem solving, product knowledge, cash handling","sales, business operations",Stock Clerk
Daniel Okello 186,19,UCE Certificate,"product knowledge, customer service, problem solving, communication, point of sale operation","product promotion, sales, customer interaction",Retail Buyer
Peter Bbosa 187,46,UCE Certificate,"stock replenishment, problem solving, inventory management, cash handling","store management, sales, customer interaction",Store Manager
Ivan Mukasa 188,39,UCE Certificate,"retail operations, problem solving, sales, cash handling, stock replenishment","merchandising, sales, product promotion",Store Manager
Grace Namuli 189,19,UACE Certificate,"communication, merchandising, cash handling, sales, point of sale operation","sales, merchandising, product promotion",Visual Merchandiser
Ivan Mukasa 190,23,Master's,"retail operations, inventory management, product knowledge, communication","merchandising, store management, sales",Retail Supervisor
Daniel Okello 191,18,Master's,"cash handling, merchandising, stock replenishment","merchandising, retail management",Customer Service Representative
Betty Lule 192,30,Master's,"inventory management, problem solving, merchandising, customer service","sales, customer interaction, product promotion",Customer Service Representative
Daniel Okello 193,41,Bachelor's,"customer service, merchandising, point of sale operation","business operations, sales, store management",Retail Sales Associate
Peter Bbosa 194,50,Bachelor's,"customer service, communication, stock replenishment, point of sale operation, teamwork","product promotion, customer interaction, merchandising",Retail Supervisor
Michael Kabanda 195,49,UACE Certificate,"product knowledge, teamwork, communication, problem solving","merchandising, store management",Stock Clerk
Ivan Mukasa 196,35,UCE Certificate,"sales, merchandising, communication, retail operations, point of sale operation","product promotion, merchandising, business operations",Stock Clerk
Sandra Kintu 197,46,Master's,"cash handling, communication, point of sale operation, customer service","store management, product promotion",Stock Clerk
Sandra Kintu 198,43,UACE Certificate,"stock replenishment, retail operations, teamwork, customer service","sales, store management, merchandising",Inventory Specialist
Grace Namuli 199,32,UACE Certificate,"stock replenishment, customer service, retail operations","retail management, business operations",Store Manager
Grace Namuli 200,19,Master's,"retail operations, sales, teamwork, merchandising","merchandising, store management, business operations",Customer Service Representative
David Kato 1,30,UACE Certificate,"data analysis, financial planning, budgeting, communication","marketing, business development",Entrepreneur
Faith Nakato 2,34,PhD,"project management, data analysis, customer relationship management","sales strategy, marketing",Marketing Manager
Faith Nakato 3,57,Master's,"budgeting, customer relationship management, financial planning, leadership, business analysis","marketing, business development",Marketing Manager
David Kato 4,54,UACE Certificate,"data analysis, negotiation, strategic thinking, communication, business analysis","marketing, entrepreneurship, sales strategy",Customer Success Manager
Steven Lwanga 5,49,UACE Certificate,"financial planning, budgeting, data analysis, project management","marketing, sales strategy",Project Manager
Ronald Mugisha 6,37,UACE Certificate,"strategic thinking, budgeting, customer relationship management, data analysis, negotiation","entrepreneurship, marketing, finance",Sales Executive
Patricia Namazzi 7,35,UCE Certificate,"leadership, data analysis, marketing, sales","business development, finance, corporate leadership",Product Manager
David Kato 8,36,UACE Certificate,"customer relationship management, project management, leadership","corporate leadership, entrepreneurship",Business Analyst
Patricia Namazzi 9,22,UCE Certificate,"data analysis, marketing, budgeting, project management","business development, corporate leadership",Customer Success Manager
Steven Lwanga 10,39,Bachelor's,"project management, data analysis, sales, negotiation, customer relationship management","business development, corporate leadership",Product Manager
David Kato 11,60,Master's,"communication, data analysis, sales, budgeting, business analysis","corporate leadership, consulting, finance",Customer Success Manager
Patricia Namazzi 12,22,Master's,"project management, sales, marketing, data analysis","sales strategy, marketing, consulting",Customer Success Manager
James Okumu 13,33,Bachelor's,"strategic thinking, marketing, project management, communication","entrepreneurship, business development, corporate leadership",Business Analyst
Juliet Mirembe 14,49,Master's,"business analysis, sales, leadership","finance, sales strategy",Operations Manager
Juliet Mirembe 15,44,Master's,"data analysis, communication, leadership","corporate leadership, consulting, entrepreneurship",Business Analyst
David Kato 16,56,Master's,"data analysis, financial planning, communication","entrepreneurship, consulting",Management Consultant
Martin Odoi 17,28,UACE Certificate,"sales, business analysis, project management, customer relationship management","business development, entrepreneurship",Business Analyst
Faith Nakato 18,59,PhD,"strategic thinking, financial planning, marketing","sales strategy, corporate leadership, entrepreneurship",Product Manager
Martin Odoi 19,41,Master's,"business analysis, negotiation, communication, strategic thinking, financial planning","sales strategy, consulting",Product Manager
Steven Lwanga 20,40,Master's,"budgeting, leadership, strategic thinking, data analysis, business analysis","sales strategy, finance, corporate leadership",Operations Manager
David Kato 21,56,Master's,"negotiation, strategic thinking, communication, project management","corporate leadership, finance",Operations Manager
Gloria Kyomuhendo 22,29,Master's,"financial planning, marketing, data analysis","finance, sales strategy, marketing",Marketing Manager
Patricia Namazzi 23,49,Master's,"data analysis, leadership, budgeting, sales","finance, entrepreneurship",Operations Manager
Faith Nakato 24,35,Bachelor's,"financial planning, data analysis, budgeting, project management, business analysis","consulting, business development, marketing",Financial Advisor
James Okumu 25,49,UACE Certificate,"leadership, budgeting, communication, strategic thinking, financial planning","finance, consulting, sales strategy",Financial Advisor
David Kato 26,22,UACE Certificate,"sales, negotiation, customer relationship management, financial planning, communication","sales strategy, finance",Customer Success Manager
Angela Nansubuga 27,23,Bachelor's,"marketing, strategic thinking, financial planning","corporate leadership, finance, marketing",Business Analyst
Steven Lwanga 28,59,Bachelor's,"budgeting, customer relationship management, data analysis","sales strategy, corporate leadership",Business Analyst
Steven Lwanga 29,24,UCE Certificate,"data analysis, financial planning, customer relationship management, negotiation, business analysis","sales strategy, entrepreneurship",Operations Manager
David Kato 30,22,Master's,"sales, financial planning, strategic thinking, leadership","marketing, consulting",Sales Executive
Faith Nakato 31,53,UCE Certificate,"negotiation, strategic thinking, communication, marketing","consulting, sales strategy",Operations Manager
Ronald Mugisha 32,39,UACE Certificate,"marketing, customer relationship management, data analysis, sales","finance, entrepreneurship",Project Manager
David Kato 33,24,UCE Certificate,"strategic thinking, sales, budgeting, data analysis, marketing","marketing, sales strategy",Product Manager
Patricia Namazzi 34,50,UACE Certificate,"budgeting, negotiation, financial planning, data analysis","entrepreneurship, corporate leadership, business development",Marketing Manager
Angela Nansubuga 35,32,UCE Certificate,"sales, customer relationship management, financial planning, project management, negotiation","sales strategy, finance, business development",Project Manager
